census_id,CLSC_code,census_type
4620638.03,13113,CT
4620638.04,13113,CT
4620639,13113,CT
4620640,13113,CT
4620641.01,13113,CT
4620641.02,13113,CT
4620643.01,13111,CT
4620643.02,13114,CT
4620643.03,13114,CT
4620644,13114,CT
4620645,13114,CT
4620646.01,13114,CT
4620646.02,13114,CT
4620646.03,13114,CT
4620647.01,13114,CT
4620647.02,13114,CT
4620648,13114,CT
4620649.01,13114,CT
4620649.02,13114,CT
4620650.01,13114,CT
4620650.02,13114,CT
4620650.04,13114,CT
4620650.05,13114,CT
4620651.01,13114,CT
4620652.01,13114,CT
4620652.04,13114,CT
4620652.06,13114,CT
4620652.07,13114,CT
4620652.08,13114,CT
4620652.09,13114,CT
4620653,13114,CT
4620654,13111,CT
4620655.01,13111,CT
4620655.02,13111,CT
4620656.01,13111,CT
4620656.03,13111,CT
4620656.04,13111,CT
4620657.01,13111,CT
4620657.02,13111,CT
4620657.03,13111,CT
4620658.01,13111,CT
4620658.02,13111,CT
4620658.03,13111,CT
4620659.04,13111,CT
4620659.05,13111,CT
4620659.06,13111,CT
4620659.08,13111,CT
4620659.09,13111,CT
4620659.1,13111,CT
4620659.11,13111,CT
4620660.01,13111,CT
4620660.02,13111,CT
4620660.03,13111,CT
4620661.01,13111,CT
4620661.04,13111,CT
4620662,13112,CT
4620733.01,15151,CT
4620734.03,15151,CT
4620734.04,15151,CT
4620734.05,15161,CT
4620734.06,15161,CT
4620735.01,15161,CT
4620735.02,15161,CT
4620856,16112,CT
4620857.01,16112,CT
4620857.02,16112,CT
4620857.06,16112,CT
4620857.07,16112,CT
4620857.08,16112,CT
4620857.09,16112,CT
4620857.1,16112,CT
4620857.11,16112,CT
4620857.12,16112,CT
4620858.01,16112,CT
4620858.02,16112,CT
4620858.04,16112,CT
4620858.05,16112,CT
4620860.01,16111,CT
4620860.02,16111,CT
4620861,16111,CT
4620865,16111,CT
4620866,16111,CT
4620867,16112,CT
4620868.01,16112,CT
4620868.02,16112,CT
4620869,16211,CT
4620870.01,16211,CT
4620870.02,16211,CT
4620871.01,16211,CT
4620871.02,16211,CT
4620872,16211,CT
4620873.01,16211,CT
4620873.02,16211,CT
4620874,16212,CT
4620875,16212,CT
4620876.01,16212,CT
4620876.04,16212,CT
4620876.05,16212,CT
4620876.06,16212,CT
4620876.07,16212,CT
4620877.01,16212,CT
4620877.02,16212,CT
4620878,16212,CT
4620879.01,16211,CT
4620879.02,16211,CT
4620880,16211,CT
4620881.01,16211,CT
4620881.02,16211,CT
4620882,16211,CT
4620883,16211,CT
4620884.01,16211,CT
4620884.02,16211,CT
4620885,16212,CT
4620886.01,16212,CT
4620886.02,16212,CT
4620886.03,16212,CT
5050500,7142,CT
5050501,7142,CT
5050502,7142,CT
5050503,7142,CT
5050504.01,7142,CT
5050504.03,7142,CT
5050504.04,7142,CT
5050504.05,7142,CT
5050505,7142,CT
5050506,7142,CT
5050507,7142,CT
5050508,7142,CT
5050509,7142,CT
5050510.01,7142,CT
5050510.02,7142,CT
5050511.01,7142,CT
5050511.02,7142,CT
5050600,7143,CT
5050601.01,7143,CT
5050601.02,7143,CT
5050601.03,7143,CT
5050602.01,7143,CT
5050602.02,7143,CT
5050602.03,7143,CT
5050610.01,7143,CT
5050610.02,7143,CT
5050611,7143,CT
5050612.01,7143,CT
5050612.02,7143,CT
5050613.01,7143,CT
5050613.03,7143,CT
5050613.04,7143,CT
